user_id,film_id,watch_date,rating,watch_duration_minutes
86,13,45636,130.3785462,22
53,19,45492,89.55818045,31
557,17,45513,96.47935003,41
698,5,45219,151.0411955,79
975,12,45643,26.79956627,126
112,1,45134,165.1086241,123
140,10,45465,63.67818133,98
467,11,44914,70.77626782,24
66,25,44719,52.49459005,72
596,2,45008,138.258637,113
962,5,45655,123.5791599,66
386,7,45638,84.99269822,42
150,8,44929,42.94148936,53
992,5,45323,149.5155268,43
956,19,45582,39.11736617,28
654,9,45437,127.1883762,108
370,20,45103,79.16124367,70
775,2,45509,142.9719997,82
663,17,45194,138.2870684,111
59,5,44755,111.3738108,121
932,16,45707,15.20871309,113
744,5,44821,76.28343206,86
252,25,45294,37.13031979,103
376,6,45255,115.3598141,55
184,4,45512,38.4286069,69
179,24,45186,31.75539454,62
164,4,44991,22.41668736,39
535,25,45347,25.6071171,95
897,14,44927,77.16250637,56
919,20,45168,50.47963365,95
921,21,45055,38.01782274,64
788,16,45094,29.0348159,21
292,17,45088,20.90385917,46
689,21,45033,48.1559088,42
60,17,45162,149.5429926,104
21,17,45348,19.29587001,37
136,16,44726,105.0783813,51
510,3,44910,42.96241022,57
244,13,45237,79.53091317,98
453,3,45382,56.77175637,120
661,7,44894,36.83016923,112
316,23,45256,126.6321019,55
388,21,45027,84.90647078,27
403,10,45037,156.0115443,99
591,1,45041,137.040158,104
199,9,45272,119.6176396,120
560,7,45733,28.33089941,70
927,3,45477,131.9559743,128
790,22,45563,28.98935467,48
715,7,44844,127.4890473,110
33,20,45334,53.92142685,114
746,12,45147,68.48778047,92
482,1,45561,67.69453588,62
8,13,45430,45.63249116,86
924,25,45200,46.09281077,92
504,17,45148,98.0873392,73
521,13,45038,66.49305855,43
637,10,44929,146.4598171,99
506,17,44961,147.9350034,31
148,21,45588,120.389772,116
7,11,44890,136.9366921,31
339,22,45317,21.93789002,87
507,1,44991,132.0868993,79
57,18,45000,135.9612649,116
795,4,44932,16.01191954,118
331,25,45519,48.65352248,125
592,16,45543,107.8436019,42
358,15,45354,67.36680811,108
158,6,45437,79.55849248,70
523,23,44965,56.76611465,42
572,20,45594,68.83586406,104
761,4,45592,83.26198162,93
402,13,45594,50.84763301,103
59,15,45611,29.06019173,118
206,1,45292,95.76300197,54
316,8,45205,152.6808511,41
175,6,45251,92.81824123,39
371,22,45234,19.58740181,59
22,5,45062,90.01444983,90
461,21,45072,103.9153821,53
577,11,44973,96.93271462,91
379,24,45018,85.16219444,38
910,11,44890,61.54458071,116
100,10,45521,157.6034988,57
816,15,45000,56.79946566,53
183,24,45691,95.26618361,33
175,7,44854,62.3279787,35
988,14,45422,57.15741212,56
826,6,44871,70.27666836,82
121,23,45015,61.13273885,20
490,7,45597,38.2467142,53
171,22,45149,43.09228397,123
820,2,44938,106.8362195,92
988,14,45311,35.72338258,120
73,3,45745,56.77175637,69
333,24,44847,25.98168644,24
970,22,45524,66.59716614,103
924,8,45146,87.47340426,70
158,7,44969,93.49196804,98
725,25,44792,121.6338062,20
784,20,45701,53.92142685,120
201,22,45783,28.2058586,113
804,1,45293,94.11191573,31
170,25,44885,52.49459005,111
700,21,45224,63.36303789,64
285,15,45338,109.6361779,79
34,19,45523,100.8816285,44
609,12,45694,138.4644257,98
999,1,45645,82.55431205,73
574,20,44947,71.13039287,115
752,19,45129,84.41115858,46
103,19,45425,22.64689621,44
455,19,45692,80.29354109,55
969,2,45382,21.99569225,87
137,10,45671,101.8850901,99
631,18,45786,85.501414,73
269,9,44783,115.0751976,46
902,12,45572,111.6648595,48
709,19,44904,95.73460669,58
228,6,45327,50.38704524,20
862,19,44734,33.97034431,79
485,17,45329,75.57549086,79
796,4,45117,56.0417184,40
741,12,44923,113.1537242,20
726,1,44864,74.29888084,126
80,12,44742,122.086913,84
182,12,45161,19.35524231,88
425,4,45626,72.05363794,115
532,25,45814,66.57850445,52
710,5,45620,91.54011847,35
429,7,44955,111.9070527,102
278,4,45312,70.45244599,20
926,4,45003,67.25006208,56
913,7,45291,70.82724852,48
231,19,44792,34.99974868,41
796,3,45737,61.37487175,52
585,13,45685,116.0369061,55
208,25,44789,67.8588603,99
989,10,45584,149.6437261,44
240,20,44801,79.16124367,40
784,16,45565,136.8784178,107
404,19,45591,85.44056296,44
442,20,45796,58.51048445,99
220,21,45064,27.87973667,89
740,3,45236,47.5655256,96
931,1,45254,56.13693219,32
459,2,45141,64.41595589,28
592,12,45401,64.02118609,79
964,8,44728,77.93085106,47
845,16,44794,13.82610281,74
541,3,44966,151.9028076,117
461,2,45246,43.99138451,113
719,5,45467,97.64279304,51
101,14,45148,122.8884361,21
786,25,45658,115.2320269,118
238,3,44854,119.6809999,80
636,3,45032,142.6965768,38
203,13,45659,31.29085108,49
666,6,45534,60.99484424,106
886,24,45499,73.61477825,35
805,17,44877,98.0873392,41
776,17,45759,83.6154367,32
723,22,45791,14.1029293,111
835,4,45434,17.6131115,108
831,1,45057,150.2488479,78
948,11,45134,141.5525356,112
195,3,44965,16.87808973,94
981,24,45742,33.19882156,99
118,24,45476,27.42511346,24
565,2,44933,113.120703,70
460,10,45333,125.7644081,126
814,3,45773,32.22180767,71
499,5,45508,74.75776342,109
122,22,45567,24.28837824,66
843,13,44996,19.55678193,111
251,12,45356,128.0423722,67
318,21,45806,59.56125562,34
320,9,45061,139.3015549,115
755,10,45403,122.5804991,85
424,18,44978,49.05818836,91
597,11,45464,24.61783228,111
469,23,44997,43.66624204,123
328,19,45089,20.58808746,62
836,16,45446,76.04356544,110
510,22,44791,36.04081932,82
125,15,45119,44.91120541,90
953,25,45406,32.00889637,52
600,4,45425,48.03575863,70
710,9,45133,21.19806271,67
459,22,45751,60.32919756,78
685,4,45740,118.4882046,37
822,8,45707,87.47340426,92
410,17,45619,65.92755586,39
874,11,45553,30.77229035,119
263,3,45692,75.18421789,72
